boundary_after_previous_folio,boundary_before_folio,previous_section,current_section,adjacent_distance,conventional_section_boundary,window_3_distance,window_5_distance,window_7_distance,combined_change_point_score
f100v,f101r,pharmaceutical,pharmaceutical,3.637608171714363,False,1.3939515146013608,1.3630630737913456,2.0188847072106335,2.103376866829426
f101r,f101v,pharmaceutical,pharmaceutical,2.698702048482625,False,0.6218749403815602,1.0370990656428705,1.523364087545264,1.47026003551308
f101v,f102r1,pharmaceutical,pharmaceutical,4.518610908276076,False,2.2990167884724957,1.5636625203859371,1.6967284719321611,2.5195046722666676
f102r1,f102r2,pharmaceutical,pharmaceutical,3.1964451870766335,False,1.6019661479633303,2.2019545376033944,2.069350543330721,2.2674291039935195
f102r2,f102v1,pharmaceutical,pharmaceutical,1.4691887330308635,False,1.9895271160123158,2.3538055697345266,2.168090752449192,1.9951530428067246
f102v1,f102v2,pharmaceutical,pharmaceutical,3.3427544410888004,False,2.8554328139683784,2.4052442438223305,2.4911059036036374,2.7736343506207866
f102v2,f103r,pharmaceutical,recipes_stars,5.285302348925473,True,3.4916837390955027,2.919884961804037,2.663554375741077,3.5901063563915225
f103r,f103v,recipes_stars,recipes_stars,1.242219727427054,False,1.8545252601089188,1.9727549350462683,1.9306630619516756,1.7500407461334793
f103v,f104r,recipes_stars,recipes_stars,3.1357301196266354,False,1.8163906553265996,1.9457788961155773,1.8070052082679324,2.176226219834186
f104r,f104v,recipes_stars,recipes_stars,1.2328871908966017,False,2.1339654600459306,1.5752906022963962,1.599106877650502,1.6353125327223577
f104v,f105r,recipes_stars,recipes_stars,1.3239351913346031,False,1.2961030522507986,1.1156622621067647,1.1108322466691916,1.2116331880903395
f105r,f105v,recipes_stars,recipes_stars,2.875653436306482,False,0.7474291025273637,1.153236137539517,0.9207702755563759,1.4242722379824346
f105v,f106r,recipes_stars,recipes_stars,2.5141334926648162,False,0.8969470683562064,0.6717387615746663,0.9779746723801147,1.2651984987439509
f106r,f106v,recipes_stars,recipes_stars,1.0552518423548292,False,1.1553403142698822,1.2543203739085442,0.6565666813577712,1.0303698029727566
f106v,f107r,recipes_stars,recipes_stars,0.5756889008715672,False,1.5518929255829326,1.3899093938139844,1.0526047085222547,1.1425239821976847
f107r,f107v,recipes_stars,recipes_stars,1.122860625179804,False,1.5619800854606563,1.6635134000320195,1.4326205558607727,1.445243666633313
